ASN,Name,Code
0    ," -Reserved -", ZZ
1    ," LVLT-1", US
2    ," UDEL-DCN", US
3    ," MIT-GATEWAYS", US
4    ," ISI-", US
5    ," SYMBOLICS", US
6    ," BULL-HN", US
7    ," DSTL", EU
8    ," RICE-", US
9    ," CMU-ROUTER", US
10   ," CSNET-EXT-", US
11   ," HARVARD", US
12   ," NYU-DOMAIN", US
13   ," DNIC--00013", US
14   ," COLUMBIA-GW", US
15   ," NET-DYNAMICS-EXP", US
16   ," LBL", US
17   ," PURDUE", US
18   ," UTEX", US
19   ," LEIDOS-", US
20   ," UR", US
21   ," RAND", US
22   ," DNIC--00022", US
23   ," 23", US
24   ," 24", US
25   ," UCB", US
26   ," CORNELL", US
27   ," UMDNET", US
28   ," DFVLR-SYS", DE
29   ," YALE-", US
30   ," SRI-AICNET", US
31   ," CIT", US
32   ," STANFORD", US
33   ," HP-33", US
34   ," UDELNET", US
35   ," MITRE--1", US
36   ," EGP-TESTOR", US
37   ," DNIC--00037", US
38   ," UIUC", US
39   ," DNIC--00039", US
40   ," MIT-TEST", US
41   ," 41", US
42   ," WOODYNET-1", US
43   ," BNL-", US
44   ," S1-DOMAIN", US
45   ," LLL-TIS-", US
46   ," RUTGERS", US
47   ," USC-", US
48   ," DNIC--00048", US
49   ," US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY", US
50   ," ORNL-MSRNET", US
51   ," DNIC--00051", US
52   ," UCLA", US
53   ," NORTHROP-", US
54   ," DNIC--00054", US
55   ," UPENN", US
56   ," DNIC--00056", US
57   ," NL-GIGAPOP", US
58   ," SSC-299-Z-58", CA
59   ," WISC-MADISON-", US
60   ," AINET-60", US
61   ," DEC-MARLBORO-", US
62   ," CONE", US
63   ," LL-MI", US
64   ," MITRE--2", US
65   ," AF-RN-65", US
66   ," DNIC--00066", US
67   ," SDC-PRC-", US
68   ," LANL-INET-", US
69   ," UPENN-ANYCT", US
70   ," NLM-GW", US
71   ," HP-INTERNET-", US
72   ," SCHLUMBERGER-", US
73   ," WHINGTON-", US
74   ," SSC-299-Z-74", CA
75   ," ANL-", US
76   ," SDC-CAM-", US
77   ," JHUAPL-", US
78   ," BA-346-78", US
79   ," DSPO-HC-", US
80   ," GE-CRD", US
81   ," NCREN", US
82   ," TWG-DEMO-", US
83   ," DNIC--00083", US
84   ," DNIC--00084", US
85   ," AERO-NET", US
86   ," CSC-300-86", US
87   ," INDIANA-", US
88   ," PRINCETON-", US
89   ," DNIC--00089", US
90   ," SUN-", US
91   ," RPI-", US
92   ," CLARKSON-", US
93   ," NTTA-93", US
94   ," DNIC--00094", US
95   ," DNIC--00095", US
96   ," DNIC--00096", US
97   ," NTTA-97", US
98   ," ROCKEFELLER-", US
99   ," INTEL-IWARP", US
100  ," FMC-CTC", US
101  ," WH-NSF-", US
